
2025/02/17 (09:47:26) | ===> btop++ v.1.4.0
2025/02/17 (09:47:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (12:54:15) | ===> btop++ v.1.4.0
2025/02/17 (12:54:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (15:04:33) | ===> btop++ v.1.4.0
2025/02/17 (15:04:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (15:38:33) | ===> btop++ v.1.4.0
2025/02/18 (15:38:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (20:03:25) | ===> btop++ v.1.4.0
2025/02/19 (20:03:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (10:53:52) | ===> btop++ v.1.4.0
2025/02/21 (10:53:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (10:57:52) | ===> btop++ v.1.4.0
2025/02/21 (10:57:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (11:03:56) | ===> btop++ v.1.4.0
2025/02/21 (11:03:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (11:06:37) | ===> btop++ v.1.4.0
2025/02/21 (11:06:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (11:10:14) | ===> btop++ v.1.4.0
2025/02/21 (11:10:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (13:18:22) | ===> btop++ v.1.4.0
2025/02/21 (13:18:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (15:43:02) | ===> btop++ v.1.4.0
2025/02/21 (15:43:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
